Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price,Random Numeric,Feature 1,Random Text Feature 2,Irrelevant Category Feature 3
Whirlpool,Model-0,400.0,3 Star,Bottom Freezer,No,Silver,Aluminium,3 Years,USA,736.0,46.0,Yes,Delta,CatC
LG,Model-1,400.0,5 Star,Side by Side,Yes,Black,Aluminium,1 Year,USA,877.0,13.0,Yes,Gamma,CatA
Bosch,Model-2,400.0,4 Star,Top Freezer,Yes,Silver,Plastic,1 Year,Korea,395.0,1.0,No,Delta,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-5,250.0,4 Star,French Door,No,Silver,Steel,3 Years,Germany,1873.0,39.0,Yes,Gamma,CatB
Siemens,Model-6,450.0,3 Star,Bottom Freezer,No,Red,Aluminium,2 Years,Germany,996.0,3.0,No,Delta,CatA
LG,Model-7,300.0,3 Star,Bottom Freezer,Yes,Black,Steel,2 Years,Korea,959.0,98.0,Yes,Alpha,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Whirlpool,Model-11,300.0,4 Star,Side by Side,No,Silver,Plastic,2 Years,China,656.0,62.0,No,Beta,CatA
Samsung,Model-12,350.0,3 Star,Bottom Freezer,Yes,White,Steel,2 Years,China,1762.0,63.0,No,Beta,CatA
LG,Model-13,500.0,3 Star,Side by Side,No,Blue,Steel,3 Years,Germany,1792.0,28.0,No,Gamma,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-15,250.0,5 Star,Top Freezer,No,Silver,Aluminium,3 Years,Korea,970.0,29.0,No,Beta,CatC
,,,,,,,,,,,,,,
LG,Model-17,300.0,3 Star,French Door,No,Blue,Aluminium,3 Years,USA,1339.0,16.0,No,Gamma,CatC
Bosch,Model-18,500.0,3 Star,French Door,Yes,Blue,Plastic,1 Year,USA,628.0,30.0,No,Gamma,CatA
LG,Model-19,350.0,5 Star,Top Freezer,Yes,White,Plastic,3 Years,Germany,311.0,81.0,No,Beta,CatB
Samsung,Model-20,300.0,3 Star,Side by Side,No,Black,Steel,1 Year,China,1009.0,87.0,Yes,Beta,CatA
,,,,,,,,,,,,,,
LG,Model-22,250.0,5 Star,French Door,Yes,Silver,Steel,2 Years,China,1233.0,41.0,No,Beta,CatA
LG,Model-23,450.0,3 Star,French Door,No,Blue,Aluminium,3 Years,USA,584.0,30.0,No,Gamma,CatA
Siemens,Model-24,450.0,5 Star,French Door,Yes,White,Aluminium,2 Years,Korea,685.0,29.0,Yes,Gamma,CatC
Bosch,Model-25,400.0,3 Star,Top Freezer,Yes,White,Aluminium,3 Years,USA,1189.0,70.0,Yes,Beta,CatA
Whirlpool,Model-26,400.0,3 Star,French Door,Yes,Blue,Aluminium,1 Year,Germany,1290.0,28.0,Yes,Alpha,CatA
Whirlpool,Model-27,500.0,4 Star,Bottom Freezer,Yes,White,Steel,3 Years,USA,1595.0,31.0,Yes,Gamma,CatB
Siemens,Model-28,500.0,5 Star,French Door,No,White,Plastic,1 Year,China,349.0,30.0,Yes,Alpha,CatB
Whirlpool,Model-29,400.0,4 Star,French Door,No,Black,Plastic,1 Year,Korea,734.0,21.0,No,Delta,CatC
Whirlpool,Model-30,400.0,3 Star,Bottom Freezer,Yes,Silver,Steel,1 Year,Germany,1990.0,97.0,No,Alpha,CatA
Siemens,Model-31,450.0,5 Star,Side by Side,No,White,Steel,2 Years,Korea,665.0,35.0,Yes,Beta,CatC
Bosch,Model-32,400.0,3 Star,Bottom Freezer,Yes,Black,Aluminium,2 Years,China,1478.0,13.0,Yes,Beta,CatB
LG,Model-33,400.0,5 Star,Side by Side,Yes,Blue,Steel,1 Year,Korea,611.0,71.0,Yes,Delta,CatA
Siemens,Model-34,300.0,4 Star,Bottom Freezer,No,Black,Plastic,3 Years,USA,524.0,87.0,No,Beta,CatC
Samsung,Model-35,450.0,3 Star,French Door,Yes,Blue,Plastic,1 Year,Korea,480.0,62.0,Yes,Delta,CatA
Bosch,Model-36,450.0,3 Star,French Door,Yes,Silver,Aluminium,3 Years,USA,1064.0,99.0,No,Beta,CatB
Whirlpool,Model-37,300.0,3 Star,Top Freezer,No,Red,Aluminium,1 Year,Germany,1577.0,40.0,No,Alpha,CatB
,,,,,,,,,,,,,,
LG,Model-39,450.0,3 Star,Side by Side,No,Blue,Aluminium,1 Year,Korea,1259.0,65.0,Yes,Alpha,CatC
,,,,,,,,,,,,,,
LG,Model-41,400.0,5 Star,Top Freezer,Yes,Silver,Aluminium,1 Year,USA,1445.0,74.0,No,Beta,CatA
Samsung,Model-42,350.0,5 Star,Side by Side,No,Red,Plastic,2 Years,Germany,659.0,63.0,Yes,Delta,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-45,350.0,3 Star,Side by Side,No,Red,Plastic,2 Years,China,1913.0,34.0,Yes,Delta,CatB
Samsung,Model-46,350.0,5 Star,Top Freezer,Yes,White,Aluminium,3 Years,USA,1289.0,73.0,Yes,Delta,CatA
